f;re;im
49999.95313;7.826153;4.511325
40093.30078;8.234406;5.233843
32149.49414;8.720713;6.074822
25779.69336;9.307572;7.060757
20671.875;10.020273;8.201941
16576.05078;10.893969;9.506371
13291.77637;11.92633;10.96584
10658.29395;13.176355;12.597906
8546.500977;14.590741;14.385321
6853.133301;16.31645;16.377268
5495.310059;18.259892;18.563885
4406.511719;20.485531;20.997498
3533.463867;23.070999;23.680885
2833.373779;26.07238;26.682329
2271.987549;29.609953;29.957668
1821.834595;33.749378;33.525692
1460.865112;38.630466;37.23954
1171.421265;44.314274;41.024925
939.327759;50.851665;44.721928
753.217407;58.271282;48.155907
603.980408;66.560432;51.136597
484.311951;75.612747;53.396931
388.353119;85.183403;54.721001
311.408661;95.003761;54.950176
249.708069;104.703377;54.327919
200.232498;113.921814;52.129356
160.55954;122.399155;49.451668
128.747437;129.837524;46.286049
103.238503;136.276016;42.900505
82.783867;141.772354;39.579605
66.381882;146.480896;36.71796
53.229275;150.64801;34.310062
42.682049;154.078903;32.330956
34.226105;157.497665;30.96599
27.444796;160.382324;30.162678
22.007036;163.160675;30.301243
17.6467;166.3004;30.421026
14.150224;169.008957;31.483831
11.346652;172.175568;33.305141
9.098556;175.694061;35.601601
7.295748;179.520569;38.86763
5.850219;183.93544;42.453926
4.691072;189.035431;46.559601
3.761554;194.778458;51.157318
3.016263;201.606781;56.255512
2.418703;208.93309;61.386501
1.939363;217.375778;67.063324
1.555192;226.23465;72.923248
1.246983;236.482025;78.890892
0.999891;246.808029;85.485123
